Temps;ax;ay;az;gx;gy;gz
6332;-0.5576;0.1064;-0.2227;15.4268;15.4268;15.4268
6342;-0.6001;0.0928;-0.1831;8.1098;8.1098;8.1098
6352;-0.6460;0.0142;-0.0908;7.4390;7.4390;7.4390
6362;-0.7188;-0.0449;0.0498;16.0976;16.0976;16.0976
6372;-0.8262;-0.1606;0.1548;32.1341;32.1341;32.1341
6382;-0.9077;-0.2134;0.1865;41.3415;41.3415;41.3415
6392;-1.0063;-0.1875;0.2344;46.3415;46.3415;46.3415
6402;-1.0596;-0.1157;0.2690;48.2317;48.2317;48.2317
6412;-1.0928;-0.0459;0.2837;39.3902;39.3902;39.3902
6422;-1.1313;-0.0059;0.2739;25.0000;25.0000;25.0000
6432;-1.1528;0.0356;0.2573;13.9024;13.9024;13.9024
6443;-1.1289;0.0645;0.2129;4.9390;4.9390;4.9390
6453;-1.1182;0.0830;0.1821;0.0000;0.0000;0.0000
6463;-1.1040;0.0898;0.1313;-4.9390;-4.9390;-4.9390
6473;-1.0674;0.0996;0.0972;-6.2805;-6.2805;-6.2805
6483;-0.9644;0.0703;0.0376;-10.3659;-10.3659;-10.3659
6493;-0.9155;0.0464;0.0146;-14.0854;-14.0854;-14.0854
6503;-0.9141;0.0083;-0.0195;-14.8171;-14.8171;-14.8171
6513;-0.9214;-0.0435;-0.0327;-13.9024;-13.9024;-13.9024
6523;-0.9551;-0.0493;-0.0479;-9.9390;-9.9390;-9.9390
6533;-0.9561;-0.0254;-0.0684;-3.7805;-3.7805;-3.7805
6543;-0.9678;0.0146;-0.0728;1.6463;1.6463;1.6463
6553;-0.9507;0.0332;-0.0830;3.7805;3.7805;3.7805
6563;-0.9390;0.0464;-0.1030;1.0976;1.0976;1.0976
6573;-0.9395;0.0479;-0.1162;-1.4024;-1.4024;-1.4024
6583;-0.9390;0.0674;-0.1279;-2.6220;-2.6220;-2.6220
6593;-0.9434;0.0737;-0.1450;-3.7195;-3.7195;-3.7195
6603;-0.9434;0.0752;-0.1504;-3.6585;-3.6585;-3.6585
6614;-0.9419;0.0693;-0.1387;-1.8293;-1.8293;-1.8293
6624;-0.9507;0.0742;-0.1484;0.4878;0.4878;0.4878
6634;-0.9312;0.0718;-0.1602;2.8659;2.8659;2.8659
6644;-0.9282;0.0830;-0.1621;3.1098;3.1098;3.1098
6654;-0.9189;0.0879;-0.1865;3.2317;3.2317;3.2317
6664;-0.9087;0.1006;-0.2305;1.2805;1.2805;1.2805
6674;-0.9038;0.1372;-0.3311;-6.0366;-6.0366;-6.0366
6684;-0.8804;0.1753;-0.4565;-16.1585;-16.1585;-16.1585
6694;-0.8589;0.2446;-0.6172;-39.5122;-39.5122;-39.5122
6704;-0.8804;0.3154;-0.7808;-56.5244;-56.5244;-56.5244
6714;-0.9072;0.3789;-0.8970;-62.5000;-62.5000;-62.5000
6724;-0.9722;0.2363;-1.0889;-56.8293;-56.8293;-56.8293
6734;-1.0557;0.2041;-1.0674;-50.3659;-50.3659;-50.3659
6744;-1.1011;0.1152;-1.0625;-33.4146;-33.4146;-33.4146
6754;-1.0786;0.0767;-0.9873;-10.3659;-10.3659;-10.3659
6764;-0.9761;0.0293;-0.9551;3.4146;3.4146;3.4146
6774;-0.9067;-0.0342;-0.8394;13.9024;13.9024;13.9024
6784;-0.8892;-0.1270;-0.7329;22.3780;22.3780;22.3780
6794;-0.8984;-0.1743;-0.5630;33.5366;33.5366;33.5366
6804;-0.9834;-0.2642;-0.2944;41.0976;41.0976;41.0976
6814;-1.0679;-0.3535;-0.0049;57.9878;57.9878;57.9878
6824;-1.1260;-0.3701;0.2954;73.4146;73.4146;73.4146
6834;-1.1631;-0.3047;0.5049;83.6585;83.6585;83.6585
6844;-1.1548;-0.1558;0.7051;81.8902;81.8902;81.8902
6854;-1.0972;0.0811;0.9463;62.5610;62.5610;62.5610
6864;-1.0220;0.2363;1.1191;37.2561;37.2561;37.2561
6874;-0.9370;0.3325;1.1973;9.4512;9.4512;9.4512
6884;-0.8892;0.3906;1.1870;-18.5976;-18.5976;-18.5976
6894;-0.9038;0.3857;1.1553;-32.3171;-32.3171;-32.3171
6904;-0.9106;0.3716;1.0815;-37.8659;-37.8659;-37.8659
6914;-0.8750;0.3345;0.9805;-35.1829;-35.1829;-35.1829
6924;-0.8418;0.2397;0.8931;-25.4268;-25.4268;-25.4268
6934;-0.8145;0.1514;0.7817;-16.1585;-16.1585;-16.1585
6944;-0.8022;0.0801;0.6680;-9.6951;-9.6951;-9.6951
6955;-0.7876;0.0142;0.5645;-2.3171;-2.3171;-2.3171
6965;-0.7456;-0.0273;0.4844;7.8659;7.8659;7.8659
6975;-0.7061;-0.0752;0.3965;15.2439;15.2439;15.2439
6985;-0.6631;-0.0947;0.2822;17.1951;17.1951;17.1951
6995;-0.6797;-0.0767;0.1636;10.1829;10.1829;10.1829
7005;-0.7236;-0.0386;0.0703;-4.3293;-4.3293;-4.3293
7015;-0.8438;0.0264;-0.0044;-19.2073;-19.2073;-19.2073
7025;-0.9766;0.0850;-0.1162;-26.7683;-26.7683;-26.7683
7035;-1.0352;0.1470;-0.2642;-31.7683;-31.7683;-31.7683
7045;-1.0444;0.1992;-0.3779;-27.3780;-27.3780;-27.3780
7055;-1.0342;0.2056;-0.5068;-14.6341;-14.6341;-14.6341
7065;-1.0190;0.2007;-0.6294;-2.3171;-2.3171;-2.3171
7075;-1.0088;0.1831;-0.6724;5.1829;5.1829;5.1829
7085;-1.0181;0.1250;-0.6787;8.4146;8.4146;8.4146
7095;-1.0049;0.0991;-0.6914;5.6707;5.6707;5.6707
7105;-0.9995;0.0474;-0.6841;0.3659;0.3659;0.3659
7115;-1.0103;0.0171;-0.6636;-3.1098;-3.1098;-3.1098
7126;-1.0215;0.0215;-0.6211;-2.3780;-2.3780;-2.3780
7136;-1.0254;0.0015;-0.5640;-1.5854;-1.5854;-1.5854
7146;-1.0098;-0.0229;-0.5190;3.5366;3.5366;3.5366
7156;-0.9736;0.0044;-0.4497;7.1341;7.1341;7.1341
7166;-0.9424;0.0098;-0.3608;10.1829;10.1829;10.1829
7176;-0.9199;0.0308;-0.2988;11.2805;11.2805;11.2805
7186;-0.9204;0.0576;-0.2178;14.6341;14.6341;14.6341
7196;-0.9248;0.0723;-0.1538;19.3902;19.3902;19.3902
7206;-0.9175;0.0723;-0.1162;24.2683;24.2683;24.2683
7216;-0.8989;0.0723;-0.0713;24.0854;24.0854;24.0854
7226;-0.9126;0.0635;-0.0176;22.0732;22.0732;22.0732
7236;-0.9126;0.0400;0.0005;19.5122;19.5122;19.5122
7246;-0.9370;-0.0039;-0.0098;12.0122;12.0122;12.0122
7256;-0.9980;-0.0454;-0.0244;-0.3659;-0.3659;-0.3659
7266;-1.0967;-0.1382;-0.0635;-16.5854;-16.5854;-16.5854
7276;-1.2324;-0.3154;-0.1851;-24.3902;-24.3902;-24.3902
7286;-1.3638;-0.6245;-0.3096;-19.6341;-19.6341;-19.6341
7296;-1.3916;-0.9346;-0.4624;-0.9146;-0.9146;-0.9146
7306;-1.4253;-1.0942;-0.6035;22.3780;22.3780;22.3780
7316;-1.3633;-1.1543;-0.5815;43.1098;43.1098;43.1098
7326;-1.0742;-1.1987;-0.6045;50.7927;50.7927;50.7927
7336;-0.8027;-1.1563;-0.6265;46.6463;46.6463;46.6463
7346;-0.6123;-1.0000;-0.5923;36.4024;36.4024;36.4024
7356;-0.3672;-0.7886;-0.5015;10.4268;10.4268;10.4268
7366;-0.1611;-0.4854;-0.3940;-50.0000;-50.0000;-50.0000
7376;-0.2065;-0.0244;-0.2715;-117.8049;-117.8049;-117.8049
7386;-0.4429;0.5049;-0.1318;-153.9024;-153.9024;-153.9024
7396;-0.7793;1.1221;0.0469;-148.7195;-148.7195;-148.7195
7406;-1.0068;1.4932;0.2310;-119.1463;-119.1463;-119.1463
7416;-1.1270;1.7314;0.2798;-69.3902;-69.3902;-69.3902
7426;-1.3066;1.8813;0.3447;-8.4146;-8.4146;-8.4146
7436;-1.4502;1.9272;0.3979;61.2805;61.2805;61.2805
7446;-1.3403;1.8491;0.4058;95.9756;95.9756;95.9756
7456;-1.1406;1.5928;0.3599;92.7439;92.7439;92.7439
7467;-1.0078;1.3374;0.2900;71.9512;71.9512;71.9512
7477;-0.9580;1.1792;0.2275;47.3171;47.3171;47.3171
7487;-0.9697;1.0977;0.1729;33.7805;33.7805;33.7805
7497;-0.9663;0.9888;0.1030;30.7927;30.7927;30.7927
7507;-0.9419;0.7969;0.0142;32.0732;32.0732;32.0732
7517;-0.9111;0.5762;-0.0747;28.1098;28.1098;28.1098
7527;-0.9043;0.1880;-0.2046;17.4390;17.4390;17.4390
7537;-0.9204;-0.1875;-0.3604;5.0610;5.0610;5.0610
7547;-1.0093;-0.4751;-0.4683;-9.9390;-9.9390;-9.9390
7557;-1.0615;-0.7275;-0.5659;-19.8171;-19.8171;-19.8171
7567;-1.0825;-0.8838;-0.6099;-22.0732;-22.0732;-22.0732
7577;-1.0728;-0.9907;-0.6182;-15.3049;-15.3049;-15.3049
7587;-1.0405;-0.9888;-0.5776;-7.6829;-7.6829;-7.6829
7597;-0.9668;-0.8877;-0.5508;-2.3171;-2.3171;-2.3171
7607;-0.9009;-0.7891;-0.5068;1.8902;1.8902;1.8902
7617;-0.8486;-0.6382;-0.4438;6.0366;6.0366;6.0366
7627;-0.8057;-0.5107;-0.3745;6.3415;6.3415;6.3415
7638;-0.7729;-0.3599;-0.2915;5.4878;5.4878;5.4878
7648;-0.7124;-0.2295;-0.2144;3.5976;3.5976;3.5976
7658;-0.6875;-0.1133;-0.1392;-0.6098;-0.6098;-0.6098
7668;-0.7188;0.0337;-0.0796;-3.9634;-3.9634;-3.9634
7678;-0.7769;0.1704;-0.0474;-2.1951;-2.1951;-2.1951
7688;-0.8770;0.3086;-0.0029;2.2561;2.2561;2.2561
7698;-0.9409;0.3877;0.0161;5.7317;5.7317;5.7317
7708;-0.9985;0.4121;0.0093;9.2073;9.2073;9.2073
7718;-1.0474;0.4351;0.0142;10.7927;10.7927;10.7927
7728;-1.0518;0.4414;0.0063;10.3659;10.3659;10.3659
7738;-1.0259;0.4424;-0.0034;8.4756;8.4756;8.4756
7748;-1.0195;0.4351;-0.0205;6.9512;6.9512;6.9512
7758;-1.0088;0.4126;-0.0435;1.2805;1.2805;1.2805
7768;-1.0024;0.4165;-0.0791;-7.9878;-7.9878;-7.9878
7778;-1.0225;0.4756;-0.0786;-20.2439;-20.2439;-20.2439
7788;-1.0645;0.5811;-0.1084;-30.7927;-30.7927;-30.7927
7798;-1.1201;0.7900;-0.1167;-44.7561;-44.7561;-44.7561
7808;-1.2075;1.0879;-0.0605;-60.7317;-60.7317;-60.7317
7818;-1.3940;1.5000;0.0532;-72.0732;-72.0732;-72.0732
7828;-1.5186;1.9180;0.2393;-61.7073;-61.7073;-61.7073
7838;-1.4370;1.9849;0.3828;-39.1463;-39.1463;-39.1463
7848;-1.1714;1.8672;0.3682;-16.7073;-16.7073;-16.7073
7858;-0.9521;1.6357;0.2949;-0.1220;-0.1220;-0.1220
7868;-0.5947;1.2163;0.1577;5.6098;5.6098;5.6098
7878;-0.2896;0.5830;-0.1235;-9.0854;-9.0854;-9.0854
7888;-0.1567;-0.0537;-0.4165;-26.8902;-26.8902;-26.8902
7898;-0.3062;-0.7715;-0.6255;-49.2073;-49.2073;-49.2073
7908;-0.6641;-1.3760;-0.8838;-79.8781;-79.8781;-79.8781
7918;-0.9702;-1.7847;-1.0811;-101.4024;-101.4024;-101.4024
7928;-1.1274;-2.0225;-1.2075;-103.5366;-103.5366;-103.5366
7938;-1.1230;-2.1411;-1.2695;-91.6463;-91.6463;-91.6463
7948;-1.1187;-2.1479;-1.2778;-75.2439;-75.2439;-75.2439
7958;-1.1221;-2.0889;-1.2231;-58.5366;-58.5366;-58.5366
7968;-1.0562;-1.9766;-1.1289;-34.1463;-34.1463;-34.1463
7979;-0.9644;-1.8647;-1.0269;-9.2683;-9.2683;-9.2683
7989;-0.8506;-1.7085;-0.9272;3.6585;3.6585;3.6585
7999;-0.7271;-1.5078;-0.8193;4.5122;4.5122;4.5122
8009;-0.6152;-1.2705;-0.7075;5.4268;5.4268;5.4268
8019;-0.5244;-0.9932;-0.6196;10.0000;10.0000;10.0000
8029;-0.4556;-0.7153;-0.5430;12.7439;12.7439;12.7439
8039;-0.3911;-0.3652;-0.3950;20.9756;20.9756;20.9756
8049;-0.3130;0.0137;-0.2549;42.3171;42.3171;42.3171
8059;-0.2476;0.4292;-0.0835;59.3902;59.3902;59.3902
8069;-0.3018;0.8467;0.0571;48.1707;48.1707;48.1707
8079;-0.5947;1.2241;0.1777;10.7317;10.7317;10.7317
8089;-0.9331;1.4556;0.2651;-25.9756;-25.9756;-25.9756
8099;-1.1025;1.6064;0.3247;-48.4756;-48.4756;-48.4756
8109;-1.2505;1.7310;0.3916;-41.4024;-41.4024;-41.4024
8119;-1.2808;1.7314;0.4443;-6.4634;-6.4634;-6.4634
8129;-1.2539;1.5942;0.4585;30.9146;30.9146;30.9146
8139;-1.1509;1.2959;0.3862;45.9756;45.9756;45.9756
